Tuổi,Nghỉ_việc,Tần_suất_công_tác,Mức_tính_theo_ngày,Phòng_ban,Khoảng_cách_từ_nhà,Trình_độ_học_vấn,Chuyên_ngành_đào_tạo,Số_lượng_nhân_viên,Mã_nhân_viên,Mức_hài_lòng_môi_trường,Giới_tính,Mức_tính_theo_giờ,Mức_độ_gắn_kết_công_việc,Cấp_bậc_công_việc,Vai_trò_công_việc,Mức_hài_lòng_công_việc,Tình_trạng_hôn_nhân,Thu_nhập_hàng_tháng,Mức_tính_theo_tháng,Số_công_ty_đã_làm,Trên_18_tuổi,Làm_thêm_giờ,Tỷ_lệ_tăng_lương_phần_trăm,Đánh_giá_hiệu_suất,Mức_hài_lòng_mối_quan_hệ,Số_giờ_tiêu_chuẩn,Mức_quyền_chọn_cổ_phiếu,Tổng_số_năm_làm_việc,Số_lần_đào_tạo_năm_trước,Cân_bằng_công_việc_cuộc_sống,Số_năm_tại_công_ty,Số_năm_ở_vai_trò_hiện_tại,Số_năm_từ_lần_thăng_chức_gần_nhất,Số_năm_làm_với_quản_lý_hiện_tại
35,Không,Ít_khi_công_tác,809,Nghiên_cứu_và_Phát_triển,16,3,Y_khoa,1,14,1,Nam,84,4,1,Kỹ_thuật_viên_phòng_thí_nghiệm,2,Đã_kết_hôn,2426,16479,0,Có,Không,13,3,3,80,1,6,5,3,5,4,0,3
29,Không,Ít_khi_công_tác,153,Nghiên_cứu_và_Phát_triển,15,2,Khoa_học_sự_sống,1,15,4,Nữ,49,2,2,Kỹ_thuật_viên_phòng_thí_nghiệm,3,Độc_thân,4193,12682,0,Có,Có,12,3,4,80,0,10,3,3,9,5,0,8
31,Không,Ít_khi_công_tác,670,Nghiên_cứu_và_Phát_triển,26,1,Khoa_học_sự_sống,1,16,1,Nam,31,3,1,Nhà_nghiên_cứu_khoa_học,3,Ly_hôn,2911,15170,1,Có,Không,17,3,4,80,1,5,1,2,5,2,4,3
34,Không,Ít_khi_công_tác,1346,Nghiên_cứu_và_Phát_triển,19,2,Y_khoa,1,18,2,Nam,93,3,1,Kỹ_thuật_viên_phòng_thí_nghiệm,4,Ly_hôn,2661,8758,0,Có,Không,11,3,3,80,1,3,2,3,2,2,1,2
28,Có,Ít_khi_công_tác,103,Nghiên_cứu_và_Phát_triển,24,3,Khoa_học_sự_sống,1,19,3,Nam,50,2,1,Kỹ_thuật_viên_phòng_thí_nghiệm,3,Độc_thân,2028,12947,5,Có,Có,14,3,2,80,0,6,4,3,4,2,0,3
29,Không,Ít_khi_công_tác,1389,Nghiên_cứu_và_Phát_triển,21,4,Khoa_học_sự_sống,1,20,2,Nữ,51,4,3,Giám_đốc_sản_xuất,1,Ly_hôn,9980,10195,1,Có,Không,11,3,3,80,1,10,1,3,10,9,8,8
32,Không,Ít_khi_công_tác,334,Nghiên_cứu_và_Phát_triển,5,2,Khoa_học_sự_sống,1,21,1,Nam,80,4,1,Nhà_nghiên_cứu_khoa_học,2,Ly_hôn,3298,15053,0,Có,Có,12,3,4,80,2,7,5,2,6,2,0,5
22,Không,Không_công_tác,1123,Nghiên_cứu_và_Phát_triển,16,2,Y_khoa,1,22,4,Nam,96,4,1,Kỹ_thuật_viên_phòng_thí_nghiệm,4,Ly_hôn,2935,7324,1,Có,Có,13,3,2,80,2,1,2,2,1,0,0,0
53,Không,Ít_khi_công_tác,1219,Kinh_doanh,2,4,Khoa_học_sự_sống,1,23,1,Nữ,78,2,4,Quản_lý,4,Đã_kết_hôn,15427,22021,2,Có,Không,16,3,3,80,0,31,3,3,25,8,3,7
38,Không,Ít_khi_công_tác,371,Nghiên_cứu_và_Phát_triển,2,3,Khoa_học_sự_sống,1,24,4,Nam,45,3,1,Nhà_nghiên_cứu_khoa_học,4,Độc_thân,3944,4306,5,Có,Có,11,3,3,80,0,6,3,3,3,2,1,2
24,Không,Không_công_tác,673,Nghiên_cứu_và_Phát_triển,11,2,Khác,1,26,1,Nữ,96,4,2,Giám_đốc_sản_xuất,3,Ly_hôn,4011,8232,0,Có,Không,18,3,4,80,1,5,5,2,4,2,1,3
36,Có,Ít_khi_công_tác,1218,Kinh_doanh,9,4,Khoa_học_sự_sống,1,27,3,Nam,82,2,1,Đại_diện_kinh_doanh,1,Độc_thân,3407,6986,7,Có,Không,23,4,2,80,0,10,4,3,5,3,0,3
34,Không,Ít_khi_công_tác,419,Nghiên_cứu_và_Phát_triển,7,4,Khoa_học_sự_sống,1,28,1,Nữ,53,3,3,Giám_đốc_nghiên_cứu,2,Độc_thân,11994,21293,0,Có,Không,11,3,3,80,0,13,4,3,12,6,2,11
21,Không,Ít_khi_công_tác,391,Nghiên_cứu_và_Phát_triển,15,2,Khoa_học_sự_sống,1,30,3,Nam,96,3,1,Nhà_nghiên_cứu_khoa_học,4,Độc_thân,1232,19281,1,Có,Không,14,3,4,80,0,0,6,3,0,0,0,0
34,Có,Ít_khi_công_tác,699,Nghiên_cứu_và_Phát_triển,6,1,Y_khoa,1,31,2,Nam,83,3,1,Nhà_nghiên_cứu_khoa_học,1,Độc_thân,2960,17102,2,Có,Không,11,3,3,80,0,8,2,3,4,2,1,3
53,Không,Ít_khi_công_tác,1282,Nghiên_cứu_và_Phát_triển,5,3,Khác,1,32,3,Nữ,58,3,5,Quản_lý,3,Ly_hôn,19094,10735,4,Có,Không,11,3,4,80,1,26,3,2,14,13,4,8
32,Có,Thường_xuyên_công_tác,1125,Nghiên_cứu_và_Phát_triển,16,1,Khoa_học_sự_sống,1,33,2,Nữ,72,1,1,Nhà_nghiên_cứu_khoa_học,1,Độc_thân,3919,4681,1,Có,Có,22,4,2,80,0,10,5,3,10,2,6,7
42,Không,Ít_khi_công_tác,691,Kinh_doanh,8,4,Tiếp_thị,1,35,3,Nam,48,3,2,Chuyên_viên_kinh_doanh,2,Đã_kết_hôn,6825,21173,0,Có,Không,11,3,4,80,1,10,2,3,9,7,4,2
44,Không,Ít_khi_công_tác,477,Nghiên_cứu_và_Phát_triển,7,4,Y_khoa,1,36,1,Nữ,42,2,3,Đại_diện_chăm_sóc_sức_khỏe,4,Đã_kết_hôn,10248,2094,3,Có,Không,14,3,4,80,1,24,4,3,22,6,5,17
46,Không,Ít_khi_công_tác,705,Kinh_doanh,2,4,Tiếp_thị,1,38,2,Nữ,83,3,5,Quản_lý,1,Độc_thân,18947,22822,3,Có,Không,12,3,4,80,0,22,2,2,2,2,2,1
33,Không,Ít_khi_công_tác,924,Nghiên_cứu_và_Phát_triển,2,3,Y_khoa,1,39,3,Nam,78,3,1,Kỹ_thuật_viên_phòng_thí_nghiệm,4,Độc_thân,2496,6670,4,Có,Không,11,3,4,80,0,7,3,3,1,1,0,0
44,Không,Ít_khi_công_tác,1459,Nghiên_cứu_và_Phát_triển,10,4,Khác,1,40,4,Nam,41,3,2,Đại_diện_chăm_sóc_sức_khỏe,4,Đã_kết_hôn,6465,19121,2,Có,Có,13,3,4,80,0,9,5,4,4,2,1,3
30,Không,Ít_khi_công_tác,125,Nghiên_cứu_và_Phát_triển,9,2,Y_khoa,1,41,4,Nam,83,2,1,Kỹ_thuật_viên_phòng_thí_nghiệm,3,Độc_thân,2206,16117,1,Có,Không,13,3,1,80,0,10,5,3,10,0,1,8
39,Có,Ít_khi_công_tác,895,Kinh_doanh,5,3,Bằng_kỹ_thuật,1,42,4,Nam,56,3,2,Đại_diện_kinh_doanh,4,Đã_kết_hôn,2086,3335,3,Có,Không,14,3,3,80,1,19,6,4,1,0,0,0
24,Có,Ít_khi_công_tác,813,Nghiên_cứu_và_Phát_triển,1,3,Y_khoa,1,45,2,Nam,61,3,1,Nhà_nghiên_cứu_khoa_học,4,Đã_kết_hôn,2293,3020,2,Có,Có,16,3,1,80,1,6,2,2,2,0,2,0
43,Không,Ít_khi_công_tác,1273,Nghiên_cứu_và_Phát_triển,2,2,Y_khoa,1,46,4,Nữ,72,4,1,Nhà_nghiên_cứu_khoa_học,3,Ly_hôn,2645,21923,1,Có,Không,12,3,4,80,2,6,3,2,5,3,1,4
50,Có,Ít_khi_công_tác,869,Kinh_doanh,3,2,Tiếp_thị,1,47,1,Nam,86,2,1,Đại_diện_kinh_doanh,3,Đã_kết_hôn,2683,3810,1,Có,Có,14,3,3,80,0,3,2,3,3,2,0,2
35,Không,Ít_khi_công_tác,890,Kinh_doanh,2,3,Tiếp_thị,1,49,4,Nữ,97,3,1,Đại_diện_kinh_doanh,4,Đã_kết_hôn,2014,9687,1,Có,Không,13,3,1,80,0,2,3,3,2,2,2,2
36,Không,Ít_khi_công_tác,852,Nghiên_cứu_và_Phát_triển,5,4,Khoa_học_sự_sống,1,51,2,Nữ,82,2,1,Nhà_nghiên_cứu_khoa_học,1,Đã_kết_hôn,3419,13072,9,Có,Có,14,3,4,80,1,6,3,4,1,1,0,0
33,Không,Thường_xuyên_công_tác,1141,Kinh_doanh,1,3,Khoa_học_sự_sống,1,52,3,Nữ,42,4,2,Chuyên_viên_kinh_doanh,1,Đã_kết_hôn,5376,3193,2,Có,Không,19,3,1,80,2,10,3,3,5,3,1,3
35,Không,Ít_khi_công_tác,464,Nghiên_cứu_và_Phát_triển,4,2,Khác,1,53,3,Nam,75,3,1,Kỹ_thuật_viên_phòng_thí_nghiệm,4,Ly_hôn,1951,10910,1,Có,Không,12,3,3,80,1,1,3,3,1,0,0,0
27,Không,Ít_khi_công_tác,1240,Nghiên_cứu_và_Phát_triển,2,4,Khoa_học_sự_sống,1,54,4,Nữ,33,3,1,Kỹ_thuật_viên_phòng_thí_nghiệm,1,Ly_hôn,2341,19715,1,Có,Không,13,3,4,80,1,1,6,3,1,0,0,0
26,Có,Ít_khi_công_tác,1357,Nghiên_cứu_và_Phát_triển,25,3,Khoa_học_sự_sống,1,55,1,Nam,48,1,1,Kỹ_thuật_viên_phòng_thí_nghiệm,3,Độc_thân,2293,10558,1,Có,Không,12,3,3,80,0,1,2,2,1,0,0,1
27,Không,Thường_xuyên_công_tác,994,Kinh_doanh,8,3,Khoa_học_sự_sống,1,56,4,Nam,37,3,3,Chuyên_viên_kinh_doanh,3,Độc_thân,8726,2975,1,Có,Không,15,3,4,80,0,9,0,3,9,8,1,7
30,Không,Thường_xuyên_công_tác,721,Nghiên_cứu_và_Phát_triển,1,2,Y_khoa,1,57,3,Nữ,58,3,2,Kỹ_thuật_viên_phòng_thí_nghiệm,4,Độc_thân,4011,10781,1,Có,Không,23,4,4,80,0,12,2,3,12,8,3,7
41,Có,Ít_khi_công_tác,1360,Nghiên_cứu_và_Phát_triển,12,3,Bằng_kỹ_thuật,1,58,2,Nữ,49,3,5,Giám_đốc_nghiên_cứu,3,Đã_kết_hôn,19545,16280,1,Có,Không,12,3,4,80,0,23,0,3,22,15,15,8
34,Không,Không_công_tác,1065,Kinh_doanh,23,4,Tiếp_thị,1,60,2,Nam,72,3,2,Chuyên_viên_kinh_doanh,3,Độc_thân,4568,10034,0,Có,Không,20,4,3,80,0,10,2,3,9,5,8,7
37,Không,Ít_khi_công_tác,408,Nghiên_cứu_và_Phát_triển,19,2,Khoa_học_sự_sống,1,61,2,Nam,73,3,1,Nhà_nghiên_cứu_khoa_học,2,Đã_kết_hôn,3022,10227,4,Có,Không,21,4,1,80,0,8,1,3,1,0,0,0
46,Không,Thường_xuyên_công_tác,1211,Kinh_doanh,5,4,Tiếp_thị,1,62,1,Nam,98,3,2,Chuyên_viên_kinh_doanh,4,Độc_thân,5772,20445,4,Có,Có,21,4,3,80,0,14,4,3,9,6,0,8
35,Không,Ít_khi_công_tác,1229,Nghiên_cứu_và_Phát_triển,8,1,Khoa_học_sự_sống,1,63,4,Nam,36,4,1,Kỹ_thuật_viên_phòng_thí_nghiệm,4,Đã_kết_hôn,2269,4892,1,Có,Không,19,3,4,80,0,1,2,3,1,0,0,1
48,Có,Ít_khi_công_tác,626,Nghiên_cứu_và_Phát_triển,1,2,Khoa_học_sự_sống,1,64,1,Nam,98,2,3,Kỹ_thuật_viên_phòng_thí_nghiệm,3,Độc_thân,5381,19294,9,Có,Có,13,3,4,80,0,23,2,3,1,0,0,0
28,Có,Ít_khi_công_tác,1434,Nghiên_cứu_và_Phát_triển,5,4,Bằng_kỹ_thuật,1,65,3,Nam,50,3,1,Kỹ_thuật_viên_phòng_thí_nghiệm,3,Độc_thân,3441,11179,1,Có,Có,13,3,3,80,0,2,3,2,2,2,2,2
44,Không,Ít_khi_công_tác,1488,Kinh_doanh,1,5,Tiếp_thị,1,68,2,Nữ,75,3,2,Chuyên_viên_kinh_doanh,1,Ly_hôn,5454,4009,5,Có,Có,21,4,3,80,1,9,2,2,4,3,1,3
35,Không,Không_công_tác,1097,Nghiên_cứu_và_Phát_triển,11,2,Y_khoa,1,70,3,Nam,79,2,3,Đại_diện_chăm_sóc_sức_khỏe,1,Đã_kết_hôn,9884,8302,2,Có,Có,13,3,3,80,1,10,3,3,4,0,2,3
26,Không,Ít_khi_công_tác,1443,Kinh_doanh,23,3,Tiếp_thị,1,72,3,Nữ,47,2,2,Chuyên_viên_kinh_doanh,4,Đã_kết_hôn,4157,21436,7,Có,Có,19,3,3,80,1,5,2,2,2,2,0,0
33,Không,Thường_xuyên_công_tác,515,Nghiên_cứu_và_Phát_triển,1,2,Khoa_học_sự_sống,1,73,1,Nữ,98,3,3,Giám_đốc_nghiên_cứu,4,Độc_thân,13458,15146,1,Có,Có,12,3,3,80,0,15,1,3,15,14,8,12
35,Không,Thường_xuyên_công_tác,853,Kinh_doanh,18,5,Khoa_học_sự_sống,1,74,2,Nam,71,3,3,Chuyên_viên_kinh_doanh,1,Đã_kết_hôn,9069,11031,1,Có,Không,22,4,4,80,1,9,3,2,9,8,1,8
35,Không,Ít_khi_công_tác,1142,Nghiên_cứu_và_Phát_triển,23,4,Y_khoa,1,75,3,Nữ,30,3,1,Kỹ_thuật_viên_phòng_thí_nghiệm,1,Đã_kết_hôn,4014,16002,3,Có,Có,15,3,3,80,1,4,3,3,2,2,2,2
31,Không,Ít_khi_công_tác,655,Nghiên_cứu_và_Phát_triển,7,4,Khoa_học_sự_sống,1,76,4,Nam,48,3,2,Kỹ_thuật_viên_phòng_thí_nghiệm,4,Ly_hôn,5915,9528,3,Có,Không,22,4,4,80,1,10,3,2,7,7,1,7
37,Không,Ít_khi_công_tác,1115,Nghiên_cứu_và_Phát_triển,1,4,Khoa_học_sự_sống,1,77,1,Nam,51,2,2,Giám_đốc_sản_xuất,3,Ly_hôn,5993,2689,1,Có,Không,18,3,3,80,1,7,2,4,7,5,0,7
32,Không,Ít_khi_công_tác,427,Nghiên_cứu_và_Phát_triển,1,3,Y_khoa,1,78,1,Nam,33,3,2,Giám_đốc_sản_xuất,4,Đã_kết_hôn,6162,10877,1,Có,Có,22,4,2,80,1,9,3,3,9,8,7,8
38,Không,Thường_xuyên_công_tác,653,Nghiên_cứu_và_Phát_triển,29,5,Khoa_học_sự_sống,1,79,4,Nữ,50,3,2,Kỹ_thuật_viên_phòng_thí_nghiệm,4,Độc_thân,2406,5456,1,Có,Không,11,3,4,80,0,10,2,3,10,3,9,9
50,Không,Ít_khi_công_tác,989,Nghiên_cứu_và_Phát_triển,7,2,Y_khoa,1,80,2,Nữ,43,2,5,Giám_đốc_nghiên_cứu,3,Ly_hôn,18740,16701,5,Có,Có,12,3,4,80,1,29,2,2,27,3,13,8
59,Không,Ít_khi_công_tác,1435,Kinh_doanh,25,3,Khoa_học_sự_sống,1,81,1,Nữ,99,3,3,Chuyên_viên_kinh_doanh,1,Độc_thân,7637,2354,7,Có,Không,11,3,4,80,0,28,3,2,21,16,7,9
36,Không,Ít_khi_công_tác,1223,Nghiên_cứu_và_Phát_triển,8,3,Bằng_kỹ_thuật,1,83,3,Nữ,59,3,3,Đại_diện_chăm_sóc_sức_khỏe,3,Ly_hôn,10096,8202,1,Có,Không,13,3,2,80,3,17,2,3,17,14,12,8
55,Không,Ít_khi_công_tác,836,Nghiên_cứu_và_Phát_triển,8,3,Y_khoa,1,84,4,Nữ,33,3,4,Quản_lý,3,Ly_hôn,14756,19730,2,Có,Có,14,3,3,80,3,21,2,3,5,0,0,2
36,Không,Thường_xuyên_công_tác,1195,Nghiên_cứu_và_Phát_triển,11,3,Khoa_học_sự_sống,1,85,2,Nam,95,2,2,Giám_đốc_sản_xuất,2,Độc_thân,6499,22656,1,Có,Không,13,3,3,80,0,6,3,3,6,5,0,3
45,Không,Ít_khi_công_tác,1339,Nghiên_cứu_và_Phát_triển,7,3,Khoa_học_sự_sống,1,86,2,Nam,59,3,3,Nhà_nghiên_cứu_khoa_học,1,Ly_hôn,9724,18787,2,Có,Không,17,3,3,80,1,25,2,3,1,0,0,0
35,Không,Thường_xuyên_công_tác,664,Nghiên_cứu_và_Phát_triển,1,3,Y_khoa,1,88,2,Nam,79,3,1,Nhà_nghiên_cứu_khoa_học,1,Đã_kết_hôn,2194,5868,4,Có,Không,13,3,4,80,1,5,2,2,3,2,1,2
36,Có,Ít_khi_công_tác,318,Nghiên_cứu_và_Phát_triển,9,3,Y_khoa,1,90,4,Nam,79,2,1,Nhà_nghiên_cứu_khoa_học,3,Đã_kết_hôn,3388,21777,0,Có,Có,17,3,1,80,1,2,0,2,1,0,0,0
59,Không,Thường_xuyên_công_tác,1225,Kinh_doanh,1,1,Khoa_học_sự_sống,1,91,1,Nữ,57,2,2,Chuyên_viên_kinh_doanh,3,Độc_thân,5473,24668,7,Có,Không,11,3,4,80,0,20,2,2,4,3,1,3
29,Không,Ít_khi_công_tác,1328,Nghiên_cứu_và_Phát_triển,2,3,Khoa_học_sự_sống,1,94,3,Nam,76,3,1,Nhà_nghiên_cứu_khoa_học,2,Đã_kết_hôn,2703,4956,0,Có,Không,23,4,4,80,1,6,3,3,5,4,0,4
31,Không,Ít_khi_công_tác,1082,Nghiên_cứu_và_Phát_triển,1,4,Y_khoa,1,95,3,Nam,87,3,1,Nhà_nghiên_cứu_khoa_học,2,Độc_thân,2501,18775,1,Có,Không,17,3,2,80,0,1,4,3,1,1,1,0
32,Không,Ít_khi_công_tác,548,Nghiên_cứu_và_Phát_triển,1,3,Khoa_học_sự_sống,1,96,2,Nam,66,3,2,Nhà_nghiên_cứu_khoa_học,2,Đã_kết_hôn,6220,7346,1,Có,Không,17,3,2,80,2,10,3,3,10,4,0,9
36,Không,Ít_khi_công_tác,132,Nghiên_cứu_và_Phát_triển,6,3,Khoa_học_sự_sống,1,97,2,Nữ,55,4,1,Kỹ_thuật_viên_phòng_thí_nghiệm,4,Đã_kết_hôn,3038,22002,3,Có,Không,12,3,2,80,0,5,3,3,1,0,0,0
31,Không,Ít_khi_công_tác,746,Nghiên_cứu_và_Phát_triển,8,4,Khoa_học_sự_sống,1,98,3,Nữ,61,3,2,Giám_đốc_sản_xuất,4,Độc_thân,4424,20682,1,Có,Không,23,4,4,80,0,11,2,3,11,7,1,8
35,Không,Ít_khi_công_tác,776,Kinh_doanh,1,4,Tiếp_thị,1,100,3,Nam,32,2,2,Chuyên_viên_kinh_doanh,1,Độc_thân,4312,23016,0,Có,Không,14,3,2,80,0,16,2,3,15,13,2,8
45,Không,Ít_khi_công_tác,193,Nghiên_cứu_và_Phát_triển,6,4,Khác,1,101,4,Nam,52,3,3,Giám_đốc_nghiên_cứu,1,Đã_kết_hôn,13245,15067,4,Có,Có,14,3,2,80,0,17,3,4,0,0,0,0
37,Không,Ít_khi_công_tác,397,Nghiên_cứu_và_Phát_triển,7,4,Y_khoa,1,102,1,Nam,30,3,3,Giám_đốc_nghiên_cứu,3,Độc_thân,13664,25258,4,Có,Không,13,3,1,80,0,16,3,4,5,2,0,2
46,Không,Ít_khi_công_tác,945,Nhân_sự,5,2,Y_khoa,1,103,2,Nam,80,3,2,Nhân_sự,2,Ly_hôn,5021,10425,8,Có,Có,22,4,4,80,1,16,2,3,4,2,0,2
30,Không,Ít_khi_công_tác,852,Nghiên_cứu_và_Phát_triển,1,1,Khoa_học_sự_sống,1,104,4,Nam,55,2,2,Kỹ_thuật_viên_phòng_thí_nghiệm,4,Đã_kết_hôn,5126,15998,1,Có,Có,12,3,3,80,2,10,1,2,10,8,3,0
35,Không,Ít_khi_công_tác,1214,Nghiên_cứu_và_Phát_triển,1,3,Y_khoa,1,105,2,Nam,30,2,1,Nhà_nghiên_cứu_khoa_học,3,Độc_thân,2859,26278,1,Có,Không,18,3,1,80,0,6,3,3,6,4,0,4
55,Không,Ít_khi_công_tác,111,Kinh_doanh,1,2,Khoa_học_sự_sống,1,106,1,Nam,70,3,3,Chuyên_viên_kinh_doanh,4,Đã_kết_hôn,10239,18092,3,Có,Không,14,3,4,80,1,24,4,3,1,0,1,0
38,Không,Không_công_tác,573,Nghiên_cứu_và_Phát_triển,6,3,Y_khoa,1,107,2,Nữ,79,1,2,Nhà_nghiên_cứu_khoa_học,4,Ly_hôn,5329,15717,7,Có,Có,12,3,4,80,3,17,3,3,13,11,1,9
34,Không,Ít_khi_công_tác,1153,Nghiên_cứu_và_Phát_triển,1,2,Y_khoa,1,110,1,Nam,94,3,2,Giám_đốc_sản_xuất,2,Đã_kết_hôn,4325,17736,1,Có,Không,15,3,3,80,0,5,2,3,5,2,1,3
56,Không,Ít_khi_công_tác,1400,Nghiên_cứu_và_Phát_triển,7,3,Khoa_học_sự_sống,1,112,4,Nam,49,1,3,Giám_đốc_sản_xuất,4,Độc_thân,7260,21698,4,Có,Không,11,3,1,80,0,37,3,2,6,4,0,2
23,Không,Ít_khi_công_tác,541,Kinh_doanh,2,1,Bằng_kỹ_thuật,1,113,3,Nam,62,3,1,Đại_diện_kinh_doanh,1,Ly_hôn,2322,9518,3,Có,Không,13,3,3,80,1,3,3,3,0,0,0,0
51,Không,Ít_khi_công_tác,432,Nghiên_cứu_và_Phát_triển,9,4,Khoa_học_sự_sống,1,116,4,Nam,96,3,1,Kỹ_thuật_viên_phòng_thí_nghiệm,4,Đã_kết_hôn,2075,18725,3,Có,Không,23,4,2,80,2,10,4,3,4,2,0,3
30,Không,Ít_khi_công_tác,288,Nghiên_cứu_và_Phát_triển,2,3,Khoa_học_sự_sống,1,117,3,Nam,99,2,2,Đại_diện_chăm_sóc_sức_khỏe,4,Đã_kết_hôn,4152,15830,1,Có,Không,19,3,1,80,3,11,3,3,11,10,10,8
46,Có,Ít_khi_công_tác,669,Kinh_doanh,9,2,Y_khoa,1,118,3,Nam,64,2,3,Chuyên_viên_kinh_doanh,4,Độc_thân,9619,13596,1,Có,Không,16,3,4,80,0,9,3,3,9,8,4,7
40,Không,Thường_xuyên_công_tác,530,Nghiên_cứu_và_Phát_triển,1,4,Khoa_học_sự_sống,1,119,3,Nam,78,2,4,Đại_diện_chăm_sóc_sức_khỏe,2,Đã_kết_hôn,13503,14115,1,Có,Không,22,4,4,80,1,22,3,2,22,3,11,11
51,Không,Ít_khi_công_tác,632,Kinh_doanh,21,4,Tiếp_thị,1,120,3,Nam,71,3,2,Chuyên_viên_kinh_doanh,4,Độc_thân,5441,8423,0,Có,Có,22,4,4,80,0,11,2,1,10,7,1,0
30,Không,Ít_khi_công_tác,1334,Kinh_doanh,4,2,Y_khoa,1,121,3,Nữ,63,2,2,Chuyên_viên_kinh_doanh,2,Ly_hôn,5209,19760,1,Có,Có,12,3,2,80,3,11,4,2,11,8,2,7
46,Không,Thường_xuyên_công_tác,638,Nghiên_cứu_và_Phát_triển,1,3,Y_khoa,1,124,3,Nam,40,2,3,Đại_diện_chăm_sóc_sức_khỏe,1,Đã_kết_hôn,10673,3142,2,Có,Có,13,3,3,80,1,21,5,2,10,9,9,5
32,Không,Ít_khi_công_tác,1093,Kinh_doanh,6,4,Y_khoa,1,125,2,Nam,87,3,2,Chuyên_viên_kinh_doanh,3,Độc_thân,5010,24301,1,Có,Không,16,3,1,80,0,12,0,3,11,8,5,7
